,txt,label
20,"ม.1 ค่ะ ตอนแรกแจ้งว่าวันที่ 8 หยุด สอบ 9 แล้วถ้าเป็นแบบนี้ 8 
 ไป รร แล้วสอบ 9 เหรอคะ",1
21,"ช่วยสลับทางเข้ากับออกที่จอดรถฝั่งสนามกอล์ฟพอจะได้ไหมคะ 
 อย่างน้อยเวลาที่รถเข้าที่จอดก็จะทำให้รถที่ออกจากที่จอดได้
 พร้อมๆกันน่ะคะ",2
22,"เปิดประตู 4 (ในรูป) เพื่อให้รถวิ่งผ่านไปลานจอดด้วยได้มั้ยคะ 
 **ย้ำนะคะให้ รถวิ่งผ่าน ห้ามจอดรถ** แบ่งเบาการจราจรใน
 ซอยบ้างนะคะ ทุกวันใช้จากถนนเลี่ยงเมืองไปถึง รร ใช้เวลา
 ไม่น้อยกว่า 40 นาทีทุกวันเลยค่ะ",2
23,"สอบถามครับ ถ้าน้องย้ายจาก ตจว.มาเข้าเรียนนี้ได้ไหม พอดีพ่อ
 น้องพึ่งย้ายมารับตำแหน่งใหม่ที่ กทม. น้องมีพี่เรียนอยู่ที่นี้ 2 คน 
 ม.2 กับ ป.3 ครับ",7
24,"พอดีพี่ชายเรียนอยู่ที่รร.ร.นี้ก็เลยอยากให้น้องเขาเรียนด้วยกัน
 เพราะผู้ปกครองลำบากในการรับส่งหลายที่ค่ะ แล้วอย่างนี้พอ
 จะมีวิธีไหนบ้างค่ะ",2
25,"เห็นทาง รร. แจ้งว่าลดจำนวน นร. ในห้องให้น้อยลงคะ กำลัง
 ตามว่าจะเปิดรับพิเศษไหม",1
26,"รบกวนสอบถามค่ะ ถ้า ปี2566 ทางโรงเรียนเปิดรับสมัครเด็กภาย
 นอกเข้าเรียนชั้น ป.4 แบบปกติไหมคะ พอดีมีเกณฑ์จะย้ายไปอยู่
 แถวปากเกร็ด-แจ้งวัฒนะช่วงปีนั้นค่ะ",7
27,"เปิดรับสมัครอนุบาล1ปี65เดือนธันวาคม64นี้ใช่มัยค่ะ ทราบวันพอ
 แจ้งได้ไหมค่ะจะได้เตรียมเอกสารค่ะ",7
28,"ช่วงที่นักเรียนหยุดเรียนโควิด ไม่มีการเรียนการสอน ตั้งแต่วันที่ 
 28 ธ.ค. 63 ถึง 31 ม.ค.64 ทางโรงเรียนจะดำเนินการคืนค่า
 เทอมให้ผู้ปกครองมั๊ยคะ",7
29,"จะมีการคืนค่าเทอมไหมคะ เหมือนจำได้ว่าเคยแจ้งไปในคอมเม้น
 ว่าจะมีการคืนค่าเทอมปลายเทอมนี้",7
30,"อยากย้ายไปเรียนเทอมหน้าขึ้นมป. 2 มากๆค่ะ ต้องทำอย่างไรคะ 
 เปิดรับสมัครเมื่อไร",7
31,"โทร.ไปแล้วไม่มีผู้สายค่ะ ขออนุญาตถามค่ะ ep ป.1 ค่าเทอม
 เท่าไรค่ะ ขอบคุณค่ะ",5
32,มีแผนจะให้ผู้ปกครองเอารถเข้าไปส่งในโรงเรียนได้เมื่อไหร่คะ,2
33,"สอบถามครับ เปิดเรียนปรกติแล้วการจราจรภายในโรงเรียนปรับ
 อย่างไรครับ",2
34,"ทางเข้าออก รร ยังใช้รูปแบบเดิมไม๊ค่ะ ไม่งั้นรถติดขั้นเทพมาก
 ถ้าไม่ปรับปรุง",2
35,สอบถามครับ ศิษย์เก่าสามารถเข้าไปภายในโรงเรียนได้มั้ยครับ,4
36,ตารางเรียน จะแจกให้ใหม่ หรือ Download ได้วันไหนคะ,1
37,"สอบถามเรื่องการสอบ TEDET ถ้ามีเหตุจำเป็นไปสอบไม่ได้มีผล
 อย่างไรไหมค่ะ",1
38,สอบ TEDET สองวิชานะคัฟ..น่าจะครึ่งวันใช่ไหมคัฟ,1
39,อันนี้เฉพาะเด็กที่สมัครใช่ไม๊คะ สอบที่ประกาศในเพจ,1
40,ขอรายละเอียดผังห้องสอบด้วยคะ หาไม่เจอคะ,1
41,"สอบถามครับคะแนนสอบ มีผลต่ออะไรด้วยมั้ยครับ หรือ ประเมิน
 เด็กเฉยๆ",1
42,"มีป้ายห้ามย้อนศรในลานจอดรถให้หน่อยได้มั้ยคะ 
 ขาดวินัยกันอย่างแรงคะ",2
43,ปีการศึกษาที่4เปิดรับหรือยังครับคูรจะพาลูกไปสมัครครับ,7
44,น้องเกิดวันที่31กรกฏาคม2561เข้าเกณฑ์มั้ยค่ะยังรับสมัครอยู่มั้ยค่ะ,7
45,อยากทราบการรับเด็กประถม 1 ค่ะ ปีการศึกษา 2564 ค่ะ,7
46,เริ่มเปิดรับสมัครอนุบาล1 วันที่1ธ.ค64นี้ใช่มัยค่ะ ทางออนไลไหมค่ะ,7
47,สมัครอนุบาลทางออนไลน์ไปแล้วค่ะ ให้ทำไงต่ออีกค่ะ,7
48,"มีเบอร์ที่สามารถติดต่อได้ไหมค่ะอยากมั่นใจว่าการสมัครไม่ตกหล่น
 ค่ะ",0
49,ที่รับสมัครตอนนี้ คือ แผนการเรียนบูราการใช่มั้ยครับ,7
50,เตรียมอบุบาลห้องล่ะกี่คนค่ะ แล้วน้องเรียนเลิกกี่โมงค่ะ,4
51,สำหรับ ผปค ที่ยังไม่ได้จ่ายเทอม 1 ต้องจ่ายเท่าไรเหรอคะ,6
52,"ขออนุญาตสอบถามค่ะ เห็ดที่นักเรียนโครงการ สสวท. วิจัย มีจัด
 ขายไหมค่ะ",0
53,ปิดปลายภาควันที่เท่าไรค่ะ,1
54,ฝนตกหนัก รถเข้ารับเด็กในร.ร. ได้ไหม,2
55,วันสอบยังเหมือนเดิมมั้ยคะ,1
56,สนามสอบมีแจ้งหรือยังคะ,1
57,ทำไมปีนี้ไม่เปิดรับนักเรียนป.1ค่ะ,7
58,ป.6ค่าเทอม ประมาณเท่าไรค่ะ,7
59,EP/SM ภาคปกติ ราคาค่าเทอมเท่าไรค่ะ,5
60,เปิดรับสมัครป.1 2565เมื่อไรคะ,7
61,ไม่ทราบว่ารับสมัครครูปฐมวัยมั้ยคะ,7
62,อยากทราบค่าเทอมอนุบาล EP คะ,5
63,อนุบาล1ค่าเทอมเท่าไหร่ครับ,7
64,สอบปลายภาคม.ปลายวันที่เท่าไรค่ะ,1
65,รับสมัคร อนุบาล 1 ต้องมีอายุเท่าไหร่คะ,7
66,ชำระเกินไปแล้วต้องทำอย่างไรคะ,6
67,สอบถามเรื่องคืนค่าเทอมค่ะ,6
68,ป4 eng cpw คืนค่าเทอมเท่าไรคะ,6
69,วันอาทิตย์โรงเรียนเปิดไหมครับ,7
70,ป.1ทางโรงเรียนเปิดรับวันใหนค่ะ,7
71,ขอสอบถามค่ะ แผนก ITP เรียนตึกไหนคะ,2
72,การสอบนี้ร.ร.ไม่ได้บังคับนักเรียน EP หรือคะ,5
73,สระว่ายน้ำสามารถเข้าไปใช้งานได้หรือยังครับ,2
74,ยังมีตรวจสุขภาพประจำปีของนักเรียนอยู่มั้ยคะ,8
75,วันพรุ่งนี้โรงเรียนหยุดไหมคะ,7
76,ผลการเรียนของน้องอนุบาลดูได้ที่ไหนหรอค่ะ,1
77,แอปโรงเรียนเกิดปัญหาอะไรหรือป่าวครับ,0
78,ขอเบอร์โทรติดต่อหน่อยฝั่งอนุบาลหน่อยคะ,1
79,ดูเกรดเฉลี่ยยังไงค่ะ,1
80,สมัครเรียนออนไลน์หรือต้องไปที่ รร หรอครับปีนี้,7
81,สามารถสอบถามรายละเอียดได้ช่องไหนบ้างคะ,0
82,ภาษาจีนเริ่มเรียนชั้นไหนค่ะ,1
83,หลักสูตรการบินรับสมัครนักเรียนชั้นไหนคะ,1
84,"เมื่อวันศุกร์ที่แล้วลูกบอกต้มจืดได้เต้าหู้สองชิ้นกับเศษๆหมู 
 คืออะไรค่ะ",3
85,"วันเสาร์ที่ 28 ถ้าไปจ่ายค่าเทอมต้องไปจ่ายตึกไหนค่ะ เปิดปิดถึง
 เวลากี่โมงค่ะ",6
86,เข้าไปจ่ายค่าเทอมก่อนได้มั้ยคะ​ ไม่ถนัดกับการโอน,6
87,ถ้าชำระผ่าน mobile banking จะได้รับใบเสร็จอย่างไร เมื่อไหร่คะ,6
88,เครื่องแบบอนุบาลตอนนี้หาซื้อได้ที่ไหนเหรอคะ,4
89,ประตู 7 เปิดไหมครับ ผมเข้ามาทางนี้ไม่ได้,2
90,เตรียม อนุบาลเต็มยังคะ,7
91,เกรดของเด็กป.4 ประกาศยังค่ะ,1
92,เกรดประกาศยังคะ,1
93,ม.3 ประกาศเกรดเมื่อไหร่ครับ,1
94,โหลด QR code ไม่ได้ต้องทำยังไงครับ,0
95,ผลการเรียนเทอม1ประถม.6.จะประกาศเมื่อไรคะ,1
96,ม.1 เปิดรับเมื่อไรค่ะ,7
97,รับสมัครประถมศึกษา​ปีที่1ช่วงใหนค่ะ,7
98,รับสมัคประถมศึกษา​ปีที่1ช่วงใหนค่ะ,7
99,รับสมัคประถมศึกษา​ปีที่1ช่วงไหนค่ะ,7
100,อ.1ค่าเทอมเท่ารัยคะ,7
101,ป.1 ห้องปกติเปิดรับมัยค่ะ,7
102,เรียนออนไลน์รึคะ,1
103,เรียนออนไลน์หรือคะ,1
104,เรียนออนไลน์หรอคะ,1
105,ป.1 ห้องปกติ เปิดรับสมัครหรือยังคะ,7
106,เตรียมอนุบาลรับกี่ขวบคะ,7
107,ทำไมประกาศผลสอบช้าจังค่ะ,1
108,โครงการ EP ร่วมด้วยไหมครับ,5
109,จ่ายบัตรเครดิตมีค่าธรรมเนียมไหมคะ,6
110,ระดับมัธยมใช้ตารางสอนเดิมเหมือนกันใช่ไหมค่ะ,1
111,ตารางเรียนของEP หล่ะคะ,5
112,ไปจ่ายที่ห้องการเงินวันทื่1 ธ.ค ได้มั๊ยคะ,6
113,ขับรถเข้าไปจ่ายได้เลยใช่มั๊ยคะ,6
114,วันอาทิตย์สหกรณ์โรงเรียนเปิดไหมครับ,4
115,What time does your school start?,7
116,What time do you eat lunch?,7
117,How many subjects do you learn in one day?,1
118,How many students are there in your class?,4
119,How many students are there in your school?,4
120,How many buildings are there in your school?,3
121,What time does your school finish?,7
122,What is your principal’s name?,8
123,Is your school big?,7
124,How long is your lesson?,1
125,สหกรณ์โรงเรียนเปิดไหมค่ะในช่วงนี้,4
126,มีแผนจะให้ผู้ปกครองเอารถเข้าไปส่งในโรงเรียนได้เมื่อไหร่คะ,3
127,ทางเข้าออก รร ยังใช้รูปแบบเดิมไม๊ค่ะ,3
128,ค่าประกันอุบัติเหตุ ส่วนนี้ หายไปไหนค่ะ,7
129,กิจกรรมดนตรีต้านยาเสพติด คนนอกเข้ามารับชมได่ไหมคะ,4
130,กิจกรรมดนตรีต้านยาเสพติด คนนอกเข้ามารับชมได้ไหมคะ,4
131,สอบถามรายละเอียดติว TGAT หน่อยได้ไหมคะ,1
132,"ย้ายเข้าตอนป.3 ต้องมีหลักฐานอะไรบ้างค่ะ ต้องซื้อใบสมัครรึ
 เปล่าค่ะ",7
133,"ย้ายเข้าตอนป.3 ต้องมีหลักฐานอะไรบ้างค่ะ ต้องซื้อใบสมัครหรือ
 เปล่าค่ะ",7
134,"Esmp ของม.1 มอบตัววัน7 ธค. หมายถึงต้องชำระค่าเล่าเรียน
 ล่วงหน้าทั้งหมดเลยใช่ไหมครับ ในกรณีถ้าผู้ปกครองไม่ว่างติด
 ภาระกิจ อนุโลมให้ขยับเวลาได้ไหมครับ ผมเป็นศิษย์เก่า ชปว. 
 ลูกคนเล็กกำลังขึ้นม.1. คนโตขึ้นม.4 เรียน ESMP อยู่ครับ 
 (ถามเผื่อทั้งสองคนเลยครับ)",9
135,ขอรายละเอียด รีวิวอะไรเกี่ยวกับการรับนักเรียนอนุบาลหน่อยได้ไหมคะ,7
136,"ขอรายละเอียดเข้าศึกษาต่อ ชั้น ม.1 ภาคเรียนปกติ ของ นร.ภายนอก
 ด้วยครับ (เห็นมีแต่โครงการEP ไม่มีภาคปกติ)",7
137,"ถ้าจะเข้าไปติดต่อขอรับใบเรียนจบของ ป.6 ไปติดต่อได้เลยหรือเปล่า 
 และเป็นวันเสาร์ที่มีการเปิดเรียนปกติได้ไหมค่ะ",7
138,ใบสมัครสอบซื้อที่ไหนครับ??,7
139,อยากเอาหลานที่อยู่ต่างจังหวัดมาเรียน ป1 ต้องทำอย่างไรบ้างคะแนน,7
140,นักเรียนใหม่ ม.1 มีแค่ภาค EP หรอค่ะ,5
141,"ม4 ห้องเรียนภาษาอังกฤษ คณิต วิทย์ฯ เรียนเน้นอะไร เป็นห้อง
 สายวิทย์ใช่ไหม",1
142,ป.4 ข้างนอกไม่ได้เปิดรับเลยใช่มั้ยคะ,7
143,สอบถามคะ..สมัครเข้า ป.4 รบกวนขอลิ้งรายละเอียดได้มั้ยคะ,7
144,"สอบถามคะ..อยากย้ายลูกจากต่างจังหวัด สมัครเข้า ป.4 โรงเรียนเปิด
 รับหรือเปล่าคะ",7
145,"รบกวนสอบถามค่ะ ป. English program กับ Gifted English ต่างกัน
 อย่างไรคะ",5
146,สอบถามอนุบาล1รับกี่ขวบ และจะสมัครได้วันไหน,7
147,ขอย้ายเข้าตอนป.3 ต้องทำยังไงบ้างครับ,7
148,ม1 ภาคปกติ (นักเรียนภายนอก) มีจัดสอบหรือเปล่าคะ,7
149,ปิดรับสมัครนักเรียนเมื่อไหร่ครับ,7
150,ราคาใบสมัครสสวทกับepกี่บาทคะ,5
151,โรงเรียนร ชปว. ไม่มี esmp เหรอค่ะ,9
152,"สอบถามครับ​ นักเรียนภายนอก​จบป.6 จะเข้าชั้นมัธยมปีที่1​ มีเฉพาะ
 ห้องEP เหรอครับ",5
153,เด็ก ประถม ทานถึง ป ไหนครับถึงซื้อทานเอง,3
154,รับสมัครเด็ก อ.2 เมื่อไหร่คะ,7
155,สอบถามหน่อยค่ะ ทำไมยังไม่เห็นได้ข่าวประกาศของโครงการ ITP เลยคะ,9
156,"น้องเกิดตุลา 63 ต้องสมัครปีไหนคะ ต้องโทรไปจองสิทธิ์ตั้งแต่เมื่อไหร่คะ 
 ขอบคุณค่ะ",7
157,"สอบถามค่ะ ถ้าน้องเรียน อนุบาล 1 มาแล้ว จะเข้าอนุบาล 2 สามารถ
 เข้าได้ไหมคะ",7
158,ศิษย์เก่าสามารถเข้าโรงเรียนได้ไหมคะ,4
159,ขอสอบถามรายละเอียดการรับสมัครครูหน่อยครับ,8
160,"ขออนุญาตสอบถามครับ เห็นลูกผมบอกว่าอาหารอิสลามเป็นเมนูเดียวกัน
 กับอาหารทั่วไปเลยอะครับ มีการเปลี่ยนวัตถุดิบบ้างไหมครับ",3
161,โอนคืนค่าเทอมตอนไหนคะ,6
162,สวัสดีครับ ขอสอบถามหน่อยนะครับว่าวันเปิดเทอมคือวันที่เท่าไรหรอครับ,7
163,"ขอสอบถามหน่อยนะคะ วันเปิดเทอมวันแรกจะต้องเตรียมอะไรไปในห้อง
 เรียนบ้างหรอคะ",7
164,"สวัสดีครับ ผมชื่อ ด.ช.ณัฐพงศ์ พงศ์เจริญ ผมทำบัตรนักเรียนหัก ต้องทำ
 ยังไงดีครับ",0
165,"สวัสดีครับผมขอสอบถามหน่อยนะครับ วันแรกของการเปิดภาคเรียนนี่นัก
 เรียนชายยังต้องตัดผมเกรียนมาเรียนอยู่อีกมั้ยครับ",7
166,"เงิน 2,000 เข้าที่ไหนอย่างไรไม่ทราบเรื่องเลยครับ",6
167,ดิฉันขอสอบถามหน่อยนะคะ วันเปิดเทอมวันแรกร้านสหกรณ์เปิดมั้ยคะ?,4
168,สามารถจ่ายค่าเทอมแบบออนไลน์ได้มั้ยครับ,6
169,"ขอสอบถามหน่อยค่ะ ปักชื่อย่อของโรงเรียนนี้ต้องปักด้านซ้ายหรือด้าน
 ขวาของเสื้อหรอคะ",4
170,ขอสอบถามหน่อยครับ....,0
171,"พอดีว่าลูกผมเขากลัวครูปกครองคนนึงอยู่น่ะครับ พอจะช่วยบอกครูคนนั้น
 ให้ลดความดุลงจะได้มั้ยครับ",4
172,สวัสดีค่ะ ไม่ทราบว่าทางโรงเรียนจะมีขายชุดนักเรียนวันไหนหรอคะ,4
173,"ขอสอบถามเกี่ยวกับกิจกรรมประชุมผู้ปกครองในวันเปิดภาคเรียนหน่อย
 นะคะ คือช่วงนี้พ่อแม่หนูไปต่างประเทศกันหมด เหลือแต่พี่ชายของหนู 
 คือวันประชุมสามารถให้พี่ชายไปเป็นผู้ปกครองของหนูได้มั้ยคะ",8
174,"สวัสดีงับ ผมขอสอบถามเกี่ยวกับการย้ายแผนการเรียนหน่อยงับว่าผมควร
 จะทำยังไง",7
175,"สวัสดีครับ อยากทราบว่าผมจะทำขอทำเรื่องจ่ายค่าเทอมล่าช้าได้ยังไง
 บ้างหรอครับ",6
176,แล้วจะรู้ได้ยังไงว่าทางโรงเรียนได้รับเงินยอดที่โอนหรือยังอ่ะคะ,6
177,"สวัสดีค่ะ พอดีช่วงอาทิตย์แรกของการเปิดเทอมหนูยังไม่สามารถมาเรียน
 ได้เนื่องจากยังติดปัญหาของทางบ้านอยู่ พอจะมีใบลาออนไลน์ให้กรอก
 มั้ยคะ?",1
178,ขอสอบถามหน่อยค่ะ เสื้อพละจะมีมาขายในวันไหนหรอคะ,4
179,"ครูคะ หนูขอสอบถามเกี่ยวกับการย้ายโรงเรียนหน่อยค่ะ คือหนูจะย้ายไป
 เรียนที่ สกน หนูต้องเรื่องอะไรบื่นให้ที่โรงเรียนบ้างมั้ยคะ",7
180,"ขอสอบถามหน่อยครับ สีกางเกงของโรงเรียนเขาเรียกว่าสีอะไรนะครับ 
 พอดีจะซื้อไปให้หลานแต่ไม่แน่ใจว่าเรียกสีนี้ว่าอะไร",4
181,สระว่ายน้ำเปิดให้บริการวันไหนหรอครับ,2
182,สอบถามหน่อยค่ะ หลักสูตรภาษาอังกฤษ สอนโดยครูต่างชาติหรือเปล่าคะ,5
183,ค่าเทอม ป.1 พอจะประมาณราคาให้หน่อยได้ไหมครับ,7
184,จะเดินทางมาโรงเรียนชลประทานได้อย่างไร,0
185,ชุดลูกเสื้อที่ถูกระเบียบมันต้องเป็นสีกากีไม่ใช่เหรอครับ,4
186,"ตอนนี้ที่สหกรณ์โรงเรียนมีขายไหมครับ หรือต้องไปซื้อจากข้างนอก 
 พอดีวันที่ซื้อชุดนักเรียนไม่ได้ซื้อเอาไว้ครับ เเล้วราคาท่าไหร่ครับ",4
187,"ขอสอบถามเพิ่มเติมเกี่ยวการสมัครครูแนะแนว พอดีเคยเป็นครูแนะแนวคะ 
 มีใบประกอบ",8
188,ตรวจสุขภาพนักเรียนที่โรงพยาบาลหรือ โรงเรียนคะ,8
189,"เช็ครายชื่อ ดญ.ชุติกาญจน์ จิวระ ชั้นม.2 สอบวิชาวิทยาศาสตร์ แต่ไม่พบ
 รายชื่อน้องค่ะ ต้องทำอย่างไรค่ะ",1
190,สมัครสอบแต่ไม่มีรายชื่อ ต้องทำอย่างไรคะ,7
191,ปิดปลายภาควันที่เท่าไรคับ,7
192,ฝนตกหนัก นำรถเข้ารับเด็กในร.ร. ได้ไหม,2
193,สอบถามครับ ศิษย์เก่าสามารถเข้าไปภายในโรงเรียนได้มั้ยครับ,4
194,ป.6 ค่าเทอม ประมาณเท่าไรค่ะ,7
195,"จะมีการคืนค่าเทอมไหมคะ เหมือนจำได้ว่าเคยแจ้งไปในคอมเม้นว่าจะมี
 การคืนค่าเทอมปลายเทอมนี้",6
196,"รบกวนสอบถามค่ะ เข้าไปจ่ายที่โรงเรียนได้ไหมคะ เพราะต้องการใบเสร็จ
 มาเบิกค่ะ",6
197,ส่งเอกสารยืนยันไปแล้วยังไม่เห็นโอนคืนค่าเทอมมาเลยครับ,6
198,ชำระเกินไปแล้วต้องทำอย่างไรคะ,6
199,เกรดออกตอนไหนค่ะ เปิดเข้าไปไม่มีค่ะ,1
200,ชำระค่าเทอมของแอปโรงเรียนอยู่ไหนครับ,0
201,ถ้าของหายที่โรงเรียนนักเรียนต้องไปแจ้งของหายได้จากไหนคะ,4
202,อยากทราบว่า รองเท้าพละต้องเป็นสีขาวเท่านั้นมั้ยครับ,4
203,จะสอบถามเรื่องส่งน้องเข้าเรียน เตรียมอนุบาลอ่ะคะ,7
204,EP ป.1ค่าเทอมเท่าไหรค่ะ,5
205,ถ้าไปจ่ายค่าเทอมต้องไปจ่ายตึกไหนค่ะ เปิดปิดถึงเวลากี่โมงค่ะ,6
206,"สามารถเข้าไปติดต่อเพื่อชำระค่าเทอมล่วงหน้าที่ห้องการเงินได้เลยใช่
 ไหมครับเปิดรับชำระได้เลยใช่นะครับ",7
207,ชำระผ่านโมบายแบงค์กิ้งไปแล้วจะได้รับใบเสร็จอย่างไรคะ,7
208,จ่ายบัตรเครดิตมีค่าธรรมเนียมไหมคะ,6
209,ถ้าชำระผ่าน mobile banking จะได้รับใบเสร็จยังไงคะ,7
210,เตรียมอนุบาลรับสมัครกี่ขวบคะ,7
211,"สวัสดีค่ะ สมัครป.1 ไปแล้ว แต่ไม่สามารถโอนเงินค่าสมัครได้ค่ะ 
 ต้องทำอย่างไรคะ",7
212,สมัครป1 ep ค่ะ ค่าเทอมเท่าไหร่ค่ะ,5
213,อ.1ค่าเทอมเท่ารัยคะ,7
214,เข้าไปสมัครอนุบาลนี่ไปได้ทุกวันหรือเว้นวันหยุดราชการคะ,7
215,รบกวนแจ้งเอกสารที่ใช้สมัครด้วยค่ะ,7
216,รูปสมัครเรียนน้องอนุบาล 1 ก็ต้องใส่ชุดนักเรียนถ่ายรูปเหรอคะ,7
217,สมัครเตรียมเตรียมอนุบาลต้องเตรียมอะไรบ้างคะ,7
218,ค่าเทอมเท่ารัยคะโปรแกรม EP,5
219,ค่าเทอม ม.4 สายวิทย์ คณิต เทคโนโลยี ต้องจ่ายอะไรเท่าไหร่บ้างคะ,6
220,ITP ม.4 ค่าเทอมเท่าไหร่คะ และต้องเตรียมอะไรไปบ้างคะ,9
221,"ค่าเทอม ม.4 สายวิทย์ คณิต เทคโนโลยี เท่าไหร่ครับ 
 และต้องเตรียมอะไรไปบ้างครับ",7
222,มอบตัวต้องไปตรงไหนของ รร.คะ,7
223,เอกสารการเขียนคําร้องมีอะไรบ้างคะ,7
224,เอกสารการเขียนคําร้องต้องใช้รูปถ่ายขนาดเท่าไหร่ครับ,7
225,สอบถามหน่อยค่ะ ECP ค่าเทอมเท่าไหร่คะ,9
226,ซื้อเครื่องแบบนักเรียน กับหนังสือเรียนได้จากที่ไหนคะ,3
227,กรอกรายละเอียดใบมอบตัวได้จากที่ไหนครับ,7
228,การทดสอบวัดระดับภาษาอังกฤษ CEFR มีค่าสมัครสอบไหมคะ,1
229,ชุดนักเรียน วันเสาร์-อาทิตย์ซื้อได้มั้ยครับ,3
230,ถ้าจะสั่งตัดชุด รด ติดต่อได้ที่ไหนคะ,3
231,เดือนหน้าจะมีการเปิดสอนว่ายน้ำแล้วใช่ไหมคะ,1
232,ท้องฟ้าจำลองเปิดอีกทีเมื่อไหร่เหรอครับ,8
233,มีรีวิวโครงการ ITP ไหมค่ะ,9
234,สอบถามเรื่องเรียนว่ายน้ำหน่อยค่ะ,1
235,"รบกวนสอบถามค่ะ ป. English program กับ Gifted English 
 ต่างกันอย่างไรคะ",5
236,ชุด นร. มีจำหน่ายไหมคะ ถ้ามีจำหน่ายวันไหน,3
237,รับสมัครถึงวันไหนค่ะ ยังสมัครทันมั้ย,1
238,อยากทราบค่าเทอม ม.3 ม.4 เท่าใหร่คะ,1
239,อยากรู้ว่าม1จะขอเข้าสมัครได้ใหม่คะ,1
240,เสียค่าสมัครสอบเท่าไหร่ค่ะ,1
241,ใบสมัครใช้อะไรบ้างคะ,1
242,ขอเกรดหน่อยครับ,1
243,อยากทราบผลการเรียนของลูก,1
244,ผลการเรียน,1
245,ผลการเรียนประถม,1
246,ผลการเรียนม.ต้น,1
247,ผลการเรียนม.ปลาย,1
248,เกรดออกเมื่อไหร่ครับ,1
249,เมื่อไหร่เกรดจะออกคะ,1
250,สามารถดูเกรดได้ที่ไหน,1
251,ทำไมถึงผลการเรียนของลูกออกล่าช้าครับ,1
252,เกรดออกหรือยัง,1
253,เกรดออกเมื่อไหร่,1
254,ขอดูเกรด,1
255,ขอดูผลการเรียนของลูก,1
256,gpa ของลูกเป็นเท่าไหร่,1
257,gpax ตอนนี้เป็นเท่าไหร่,1
258,วิชาภาษาไทยได้เกรดอะไร,1
259,วิชาคณิตศาสตร์ได้เกรดเท่าไหร่,1
260,วิชาภาษาอังกฤษเกรดออกแล้วหรือยัง,1
261,เมื่อไหร่เกรดวิชาสังคมศึกษาจะออก,1
262,วิชาเลขเกรดจะออกเมื่อไหร่,1
263,อนุบาล 3 เปิดรับไหมคะ,1
264,อนุบาล 2 เปิดรับไหมคะ,1
265,อนุบาล 1 เปิดรับมั้ยคะ,1
266,ซื้อใบสมัคร อ.1 ได้ที่ไหนคะ,1
267,สมัคร อ.1 ได้ที่ไหนครับ,1
268,ไปซื้อใบสมัครอนุบาล 1 ได้วันไหนบ้างคะ ไปช่วง 15:00 โมงได้ไหมคะ,1
269,จะติดต่ครูออนุบาล 3 ได้ยังไงคะ,1
270,ค่าเทอม อ.1 เท่าไหร่ครับ,1
271,อ.2 เปิดรับมั้ยคับ,1
272,น้องเกิด 16 พค 60 สามารถสมัคร อ.1ได้ไหมคะ,1
273,ค่าสมัคร อ.1 เท่าไหร่คะ,1
